iso3,countryname,region,super_region,year,age_group,ever_had_sex
SRB,Serbia,"Europe, Cen",2,2004,25,0.8549792
SRB,Serbia,"Europe, Cen",2,2004,30,0.9280965
SRB,Serbia,"Europe, Cen",2,2004,35,0.968061
SRB,Serbia,"Europe, Cen",2,2004,40,0.9714834
SRB,Serbia,"Europe, Cen",2,2004,45,0.9889901
SRB,Serbia,"Europe, Cen",2,2005,15,0.191671
SRB,Serbia,"Europe, Cen",2,2005,20,0.7742076
SRB,Serbia,"Europe, Cen",2,2005,25,0.855343
SRB,Serbia,"Europe, Cen",2,2005,30,0.928651
SRB,Serbia,"Europe, Cen",2,2005,35,0.9679144
SRB,Serbia,"Europe, Cen",2,2005,40,0.9722072
SRB,Serbia,"Europe, Cen",2,2005,45,0.988711
SRB,Serbia,"Europe, Cen",2,2006,15,0.1912845
SRB,Serbia,"Europe, Cen",2,2006,20,0.7732096
SRB,Serbia,"Europe, Cen",2,2006,25,0.8551332
SRB,Serbia,"Europe, Cen",2,2006,30,0.9292151
